id,No,名前,国・地域,タグ,起点 〜 終点,距離,特徴,見どころ,物語スイッチ,ベストシーズン × 表情変化,到達後のご褒美,覚悟レベル,危険・制限,ChatGPT一言,Geminiの一言,ブー之助の一言
,71,マルタ巡礼路,マルタ,#歴史,イムディーナ 〜 港町,約50〜500km,地中海の風が運ぶ歴史の重みと、石畳に刻まれた騎士たちの足跡を感じる道。夕陽に染まる岩肌と海のコントラストが心を奪う。,要塞都市ヴァレッタの壮麗な建築群と、静かに佇む古都イムディーナの神秘。紺碧の地中海と一体となる景観が、旅人の五感を刺激する。,歴史の深遠を辿ることは、己の信念と向き合い、未来を築く旅路を選ぶこと。,春：ブーゲンビリアが石壁を彩る穏やかな風情／秋：地中海の陽光が歴史都市を照らす静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,地中海の宝石、マルタで騎士の足跡を辿り、悠久の時を旅する贅沢を。,石畳の先にどんなごちそうが待ってるんだブー？騎士の冒険の匂いがするブー！
,72,ルート・ナポレオン,仏,#歴史,ゴルフ＝ジュアン 〜 グルノーブル,約50〜500km,地中海の眩い光、プロヴァンスのハーブ香る道を、皇帝ナポレオンがパリへ帰還した情熱の足跡を辿る。足裏に感じるのは、歴史を揺るがした野望と、アルプスの壮大な風の歌だ。,地中海の眩い光、プロヴァンスのハーブ香る道を、皇帝ナポレオンがパリへ帰還した情熱の足跡を辿る。足裏に感じるのは、歴史を揺るがした野望と、アルプスの壮大な風の歌だ。,失意からの再起か、新たな挑戦か。人生を揺るがす決断の時、己の運命を選ぶ旅だ。,春：新緑が輝き地中海の光が降り注ぐ／秋：ブドウ畑が黄金に染まり歴史が深まる,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,あの皇帝が駆けた道で、あなたの心にも新たな鼓動を。歴史と自然が織りなす壮大な叙事詩。,プロヴァンスの風が旨そうだブー！アルプスの向こうに冒険の匂いがする、駆け抜けたいブー！
,73,バルカン・ピース・トレイル,複数国,#自然,アルバニア〜モンテネグロ,★判断不可★,バルカン半島を横断し、複数の国境を越え、峻厳な山脈と悠久の歴史が織りなすパノラマを足裏で感じる道。風が運ぶ平和の匂いを胸いっぱいに吸い込む。,バルカン半島を横断し、複数の国境を越え、峻厳な山脈と悠久の歴史が織りなすパノラマを足裏で感じる道。風が運ぶ平和の匂いを胸いっぱいに吸い込む。,この道を選ぶことは、争いの記憶を越え、共生の未来へ橋を架ける、希望を選ぶことだ。,春：山野に花が咲き乱れ、命の息吹に満ちた渓谷を渡る風景／秋：ブナの森が燃えるような色彩に染まり、澄んだ空気の中で歴史を深く感じる静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,国境を越える一歩が、心の壁をも溶かす。この道で、あなた自身の平和を見つけて。,風に乗って、遠くから美味しそうなスパイスの香りがするブー！次はどこの国でご馳走にありつけるか楽しみだブー！
,74,ヴィア・マリス,伊,#歴史,ジェノヴァ沿岸,約50〜500km,太陽降り注ぐ地中海の風が頬を撫で、足裏には古き石畳の感触が残る。紺碧の海と歴史が織りなす絶景が、五感を揺さぶる冒険へと誘う道だ。,太陽降り注ぐ地中海の風が頬を撫で、足裏には古き石畳の感触が残る。紺碧の海と歴史が織りなす絶景が、五感を揺さぶる冒険へと誘う道だ。,人生の羅針盤を信じ、未知の水平線へ。古の航海士のように、心の地図を広げる旅を選べ。,春：花咲き乱れる崖と紺碧のコントラスト／秋：夕焼けに染まる古き港町の郷愁と美食の香り,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,地中海の囁きを聞きながら、時を超えた冒険へ。悠久の歴史と絶景が、あなたを待つ。,海風の塩味がたまらないブー！新鮮な海の幸と太陽の香りが、冒険の匂いを高めるブー！
,75,ロフォーテン・コースタル・パス,ノルウェー,#自然,島嶼部,★判断不可★,北極圏の風が頬を撫で、フィヨルドに切り立つ山々とエメラルドの海が織りなす圧倒的な景観は、足裏から伝わる大地の鼓動を感じさせる。,北極圏の風が頬を撫で、フィヨルドに切り立つ山々とエメラルドの海が織りなす圧倒的な景観は、足裏から伝わる大地の鼓動を感じさせる。,自然の荒々しさに身を委ね、魂の解放と静謐な対話を選ぶのか。,夏：白夜に輝く緑豊かな大地と活動的な海／冬：オーロラが舞う雪と氷に覆われた神秘的な静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,地球の果てで、息をのむ絶景と魂が震える冒険があなたを待つ。,この海の匂い、冒険の味がするブー！あの断崖絶壁から飛び立ちたい気分だブー。
,76,ヴィア・アドリアティカ,伊,#自然,トリエステ 〜 プーリア,★判断不可★,アドリア海の青とオリーブ畑の緑が織りなす絵画のような風景。潮風が頬を撫で、歴史を刻む石畳が足裏に心地よい感触を残す。,アドリア海の青とオリーブ畑の緑が織りなす絵画のような風景。潮風が頬を撫で、歴史を刻む石畳が足裏に心地よい感触を残す。,人生に、地中海の輝きと悠久の歴史を重ね、新たな自分を発見する旅を選ぶ。,春：花々が彩る海岸線の息吹／夏：太陽と海の輝きが全身を包む活気／秋：穏やかな気候と豊かな海の恵みに包まれる静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,アドリア海の宝石を辿り、五感を研ぎ澄ます。その先で、真の豊かさに出逢う。,青い海と新鮮なシーフード、これはたまらないブー！冒険の匂いがする道だブー！
,77,セント・パトリック・ウェイ,アイルランド,#巡礼,アーマー 〜 ダウンパトリック,約100〜800km,風がケルトの古代遺跡をなで、足裏には聖なる大地の息吹が伝わる、緑豊かなアイルランドを巡る聖パトリックの道。,風がケルトの古代遺跡をなで、足裏には聖なる大地の息吹が伝わる、緑豊かなアイルランドを巡る聖パトリックの道。,過去と対話し、魂の聖域を探し求める人生を選ぶ。,春：萌える新緑が大地を彩り、生命の息吹に満ちた道／秋：霧に包まれた遺跡が神秘を深める、静寂の巡礼。,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,ケルトの魂が宿る道で、あなたの精神は深く癒される。,この緑の道は、どんな絶景とごちそうが待ってるんだブー？
,78,ラップランド・トレイル,フィンランド,#自然,北極圏,★判断不可★,広大な荒野を足裏で感じ、サーミの息吹が漂う苔むした大地を歩む、果てしない自然のスケールに心震える道。,広大な荒野を足裏で感じ、サーミの息吹が漂う苔むした大地を歩む、果てしない自然のスケールに心震える道。,現代社会の喧騒から離れ、純粋な自分を取り戻す旅を選ぶこと。,夏：白夜に包まれた野花咲き乱れる極北の風景／秋：燃えるような紅葉が広がる静寂の荒野,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,極北の地で、大自然と魂が共鳴する、人生を彩る冒険へ。,果てしない大地の匂いがたまらないブー！ベリーを頬張りながら、どこまでも歩きたいブー！
,79,カミーノ・デ・モンテサンティアゴ,スペイン,#巡礼,マドリード 〜 サンティアゴ,約100〜800km,古の巡礼路を首都から辿り、足裏に歴史の重みを感じる道。,移ろいゆく風の香りと共に、聖地サンティアゴへ誘われる巡礼。,それは、自分を見つめ直し、新たな人生の道筋を見つける旅。,春：野花が咲き乱れ、命の息吹を感じる風景／秋：澄んだ空気の中、深く内省を誘う静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,首都の喧騒を抜け、聖地へ続く道で本当の自分と出会う、壮大な旅。,長い道のりを歩いた後のごちそう、最高だブー！新しい道を行く冒険の匂いがするブー！
,80,バイキング・ヘリテージ・ルート,北欧,#歴史,デンマーク〜ノルウェー,約50〜500km,ヴァイキングの時代へ誘う北の海風が肌を撫で、足裏には凍てつく大地と荒波を越えた記憶が刻まれる。,切り立つフィヨルドと古代の交易跡が織りなす圧倒的な自然美。海を渡り、地平を目指した彼らの雄大な足跡を辿る。,失われた強さと探求心を取り戻し、新たな自分を発見する旅路へ。,夏：白夜が照らす緑豊かな大地と荒々しい海岸線／冬：凍てつく銀世界とオーロラが舞う神秘の静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,風と波が紡いだ伝説を辿り、遥かなる北の地で真の冒険者となれ。,北の海の幸は格別だブー！燻製肉の香りがたまらないし、この雄大な景色に心を解き放ちたいブー！
,81,プロヴァンス・ラベンダー街道,フランス,#文化,ソー周辺,★判断不可★,一面に広がる紫の絨毯、風が運ぶ甘く優しいラベンダーの香りが鼻腔をくすぐり、足元には太陽の熱を帯びた石畳が続く。心奪われる色彩と香りの旅路。,一面に広がる紫の絨毯、風が運ぶ甘く優しいラベンダーの香りが鼻腔をくすぐり、足元には太陽の熱を帯びた石畳が続く。心奪われる色彩と香りの旅路。,五感で世界を感じ、心の豊かさを選ぶ旅。忘れかけていた感性が蘇る。,夏：紫の絨毯が広がり、蜂蜜を運ぶ蜂の羽音が響く活気。／初夏：新緑が萌え、柔らかな光が畑を包む静謐。,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,記憶に深く刻まれる、プロヴァンスの祝福。香りの調べが誘う至福の時へ。,う〜ん、甘くて良い匂いだブー！この香りに誘われて、ハーブ料理も食べたくなったブー！
,82,ヴィア・デッラ・ラーナ,イタリア,#歴史,フィレンツェ 〜 ファエンツァ,約50〜500km,羊毛交易路,アペニン山脈,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,83,アルバニア石畳街道,アルバニア,#歴史,ジロカストラ周辺,約50〜500km,オスマン遺産,石造都市,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,84,セント・ジェームズ・ウェイ（イングランド）,英,#巡礼,レディング 〜 サウサンプトン,約100〜800km,英国版巡礼路,テムズ支流,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,85,モン・サン・ミシェル巡礼路,仏,#巡礼,パリ 〜 モン・サン・ミシェル,約100〜800km,海へ向かう道,潮の干満、修道院,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,86,カミーノ・デル・ノルテ（ガリシア区間）,スペイン,#巡礼,リバデオ 〜 サンティアゴ,約100〜800km,緑の巡礼路,入江と草原,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,87,ピレネー縦走路（HRP）,仏/西,#山岳,大西洋 〜 地中海,約100〜300km,稜線縦断,雪渓、無人地帯,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,挑戦,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,88,エトナ山古道,イタリア,#自然,エトナ山麓,★判断不可★,火山信仰の道,黒い溶岩原,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,89,セント・アンドリューズ・パス,スコットランド,#歴史,エディンバラ 〜 セントアンドリューズ,約50〜500km,巡礼とゴルフ,海岸線,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,90,ヴィア・デル・サーレ,伊,#歴史,リグーリア〜ピエモンテ,約50〜500km,塩の交易路,石畳峠,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,91,バスク内陸路,西,#文化,パンプローナ周辺,★判断不可★,深い森の匂いが五感をくすぐり、足裏に感じる石畳の一歩一歩が歴史を刻む。バスクの峻厳な山々を縫うように進む巡礼路は、素朴な村々と絶景が織りなす。,豊かな自然の中、息をのむようなパノラマと、巡礼者の疲労を癒すバスクならではの美食という物理的なご褒美が待つ道。,山々の静寂の中で己と向き合う勇気、そして人生の新たな章を拓く決意を選ぶか。,春：新緑が萌え、野花が彩る生命の息吹に満ちた道／秋：ワインレッドに染まるブドウ畑と、巡礼者を包む静かで深遠な色合い,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,神聖な山々が誘う、魂の解放と美食を巡る至福の道へ。,急な坂の後の絶景と、バスクの美味しいチーズとワインがご褒美だブー！
,92,カミーノ・イングレス,西,#巡礼,フェロル 〜 サンティアゴ,約100〜800km,潮風が頬を撫で、足裏には古き港町の石畳の記憶。大西洋の気配を全身に感じながら歩む、爽やかな巡礼の道。,入港町,人生の新たな章を開く時、短いながらも深き対話を。,春：潮風と野花の香りが誘う目覚め／秋：黄金に染まる古道を静かに辿る,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,大西洋を背に、心の羅針盤が指す聖地へ。知られざる巡礼の旅が今、始まる。,海風を浴びて歩いたら、新鮮な魚介をたらふく食べるんだブー！最高の冒険だブー！
,93,トスカーナ・ワイン街道,伊,#文化,キャンティ,★判断不可★,葡萄畑,ワイナリー,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,94,ドナウ河畔自転車道,複数国,#自然,パッサウ 〜 ウィーン,★判断不可★,川の道,古都,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,95,ローマ水道橋路,伊,#歴史,ローマ郊外,約50〜500km,水の道,アクアドゥクト,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,96,スイス・アルパイン・パス,スイス,#山岳,各峠,約100〜300km,高山越え,氷河,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,挑戦,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,97,スロベニア・グリーン・ウェイ,スロベニア,#自然,国内周回,★判断不可★,森と湖,ブレッド湖,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,98,カタルーニャ古道,西,#歴史,内陸部,約50〜500km,地中海の陽光が降り注ぐ古石の道は、中世修道院の厳かな空気を肌で感じさせ、足裏には遥か昔の巡礼者の祈りの響きが蘇る。,地中海の陽光が降り注ぐ古石の道は、中世修道院の厳かな空気を肌で感じさせ、足裏には遥か昔の巡礼者の祈りの響きが蘇る。,古の信仰を辿り、心の奥底で真実と向き合う旅を選ぶか。,春：野花が咲き誇り、地中海の風が心地よい風景／秋：ブドウ畑が黄金に輝き、古の道に静寂が満ちる時,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,地中海の光と歴史が織りなす、魂の巡礼へ。真の自分を見つける旅。,古い修道院のチーズとワイン、絶景を堪能するブー！早く行きたいブー！
,99,ノルマンディ巡礼路,仏,#歴史,内陸〜海岸,約50〜500km,中世信仰,修道院,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,100,ブルゴーニュ運河道,仏,#文化,ディジョン周辺,★判断不可★,水と葡萄,運河と畑,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,101,アルデンヌ古戦場街道,ベルギー/仏,#歴史,ディナン 〜 スダン,約50〜500km,欧州史の分岐点となった森の道,深い森、要塞都市,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,102,ライン古城街道,ドイツ,#歴史 #文化,コブレンツ 〜 ビンゲン,約50〜500km,ライン渓谷の城を結ぶ,古城群、ローレライ岩,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,103,セント・オールバンズ巡礼路,イギリス,#巡礼,ロンドン 〜 セント・オールバンズ,約100〜800km,中世英国の信仰路,大聖堂、田園,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,104,カンタブリア山道,スペイン,#自然,レオン 〜 サンタンデール,★判断不可★,山と海を結ぶ旧道,石橋、牧草地,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,105,ヴィア・デル・フランコリ,イタリア,#歴史,ブレシア 〜 トレント,約50〜500km,ローマ北方ルート,石畳、谷沿い集落,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,106,アンダルシア白い村街道,スペイン,#文化,ロンダ周辺,★判断不可★,白壁の村を巡る,断崖都市、オリーブ畑,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,107,セント・マグナス・ウェイ,スコットランド,#巡礼,カークウォール周辺,約100〜800km,北海の巡礼路,荒海、石造教会,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,108,バルドー渓谷古道,フランス,#自然,アルプス南部,★判断不可★,人里離れた峠道,高山草原,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,109,ヴィア・ポスティミア,イタリア/スロベニア,#歴史,アクイレイア 〜 エモナ,約50〜500km,古代ローマ道,石畳遺構,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,110,エーゲ海島嶼古道,ギリシャ,#歴史 #自然,キクラデス諸島,約50〜500km,島をつなぐ古道,白い礼拝堂、青い海,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,111,アトス山巡礼路,ギリシャ,#巡礼,ハルキディキ半島,約100〜800km,正教会の聖山,修道院群,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,112,ドルメン街道,フランス,★判断不可★,ブルターニュ,★判断不可★,巨石文化の道,巨石墳,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,113,セント・ウルリッヒ街道,ドイツ,#巡礼,アウクスブルク周辺,約100〜800km,聖人信仰の道,森と教会,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,114,トレンティーノ古道,イタリア,#山岳,ドロミテ山麓,約100〜300km,山岳集落連絡路,岩壁と牧草地,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,挑戦,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,115,アゾレス火山トレイル,ポルトガル,#自然,サンミゲル島,★判断不可★,火山島の道,カルデラ湖,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,116,ヴィア・ディ・サン・ロムアルド,イタリア,#巡礼,カマルドリ周辺,約100〜800km,隠遁修道士の道,深い森,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,117,フィヨルド古街道,ノルウェー,#自然,内陸〜海,★判断不可★,山越えの生活道,フィヨルド展望,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,118,サヴォイ公国街道,仏/伊,#歴史,トリノ 〜 リヨン,約50〜500km,アルプス政治路,峠道,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,119,ピレネー羊飼い道,仏/西,#文化,山岳放牧路,★判断不可★,季節移動の道,石小屋,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,120,エトルリア街道,イタリア,#歴史,ヴィテルボ周辺,約50〜500km,ローマ以前の文明路,岩窟墓,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,121,セント・ブルーノの道,フランス,#巡礼,シャルトルーズ山地,約100〜800km,修道院への道,静寂,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,122,バスク海岸道,フランス/スペイン,#自然,ビアリッツ 〜 サンセバスチャン,★判断不可★,海沿い古道,崖と港町,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,123,スロバキア城街道,スロバキア,#歴史,ブラチスラヴァ周辺,約50〜500km,城塞連結路,ドナウ流域,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,124,トランシルヴァニア・サクソン道,ルーマニア,#歴史,要塞村群,約50〜500km,中世ドイツ系集落,城壁教会,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,125,コルシカ沿岸古道,フランス,#自然,島沿岸,★判断不可★,交易・漁路,入江,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,126,クレタ島ミノア道,ギリシャ,★判断不可★,クノッソス周辺,★判断不可★,古代文明路,遺跡,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,127,ボヘミア・ガラス街道,チェコ,#文化,北ボヘミア,★判断不可★,職人交易路,ガラス工房,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,128,フィンランド湖水路,フィンランド,#自然,湖水地方,★判断不可★,水と森の道,白夜,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,129,ドルミティ古戦場道,イタリア,#歴史,山岳戦跡,約50〜500km,第一次大戦の道,塹壕跡,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,130,サルデーニャ羊飼い道,イタリア,#文化,島内山地,★判断不可★,遊牧文化,石積み小屋,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,131,ダルマチア海岸古道,クロアチア,#歴史 #自然,スプリト 〜 ドゥブロヴニク,約50〜500km,アドリア海を望む断崖道,石造旧市街、群島の海,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,132,バルカン山脈越えの道,ブルガリア,#歴史,ソフィア 〜 黒海沿岸,約50〜500km,帝国の境界を越える道,山岳峠、修道院,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,133,アドリア・ヴィア・ディナリカ,バルカン諸国,#山岳,スロベニア 〜 アルバニア,約100〜300km,石灰岩の大縦走路,カルスト地形、牧畜文化,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,挑戦,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,134,オフリド湖巡礼路,北マケドニア,#巡礼 #文化,湖周回,約100〜800km,正教文化の中心,湖畔教会、ビザンティン壁画,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,巡礼,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,135,トラキア古道,ブルガリア/ギリシャ,#歴史,内陸高原,約50〜500km,古代王国の道,墳墓、葡萄畑,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,136,エピルス山岳古道,ギリシャ,#山岳,イオアニナ周辺,約100〜300km,石橋の残る山道,ヴィコス峡谷,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,挑戦,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,137,モンテネグロ王道,モンテネグロ,#歴史,チェティニェ 〜 海岸,約50〜500km,王国時代の連絡路,山岳とアドリア海の対比,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,138,アルバニア・石橋街道,アルバニア,#歴史,ジロカストラ周辺,約50〜500km,オスマン期の道,アーチ橋、石の町,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,139,サヴァ川交易路,スロベニア/クロアチア,#交易,内陸 〜 ドナウ,★判断不可★,川と陸の交差点,河畔都市,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
,140,バルト琥珀街道,バルト三国,#交易,バルト海沿岸,★判断不可★,古代の宝石交易路,森と海、博物館,この道は、人が歩き続けることで意味を持つ,春秋：最適／夏：活気／冬：静寂,土地の料理・景色・静けさ,旅,★判断不可★,旅の編集者より：最初は一部区間からで十分,,
